#       time         integral Re         integral Im         integral Re         integral Im
#       r =            32.000000           32.000000           50.000000           50.000000
  58.2500000   -5.1747689618e-05   -9.4666637746e-21    5.9078216239e-06   -5.0574093909e-19
  58.5000000   -2.6951698164e-05   -1.8685052196e-20   -2.5405116081e-04   -4.6218866007e-19
  58.7500000   -2.3141388470e-07   -2.3252677704e-20   -5.0920941742e-04   -4.2856107821e-19
  59.0000000    2.0655482221e-05   -2.0626459533e-20   -6.6288902146e-04   -3.2533553582e-19
  59.2500000    2.9646367408e-05   -1.6504304966e-20   -6.4562135504e-04   -6.7542080672e-20
  59.5000000    2.4164700665e-05   -9.2791414652e-21   -4.4862470925e-04    2.5487541156e-19
  59.7500000    5.9383479347e-06   -1.1084294929e-21   -1.3256063236e-04    6.7565606407e-19
  60.0000000   -1.9379230745e-05    5.2167239891e-21    1.9405484159e-04    1.0990383002e-18
  60.2500000   -4.3697341747e-05    8.5679944411e-21    4.1828892241e-04    1.4182872549e-18
  60.5000000   -5.8727391499e-05    1.1137447639e-20    4.6910929480e-04    1.4901726057e-18
  60.7500000   -5.8420873951e-05    1.2144070612e-20    3.4609487503e-04    1.2880540619e-18
  61.0000000   -4.0961945461e-05    1.0036191864e-20    1.1824916994e-04    8.1178071644e-19
  61.2500000   -9.7129030674e-06    7.4964398157e-21   -1.0572320546e-04    8.0757559193e-20
  61.5000000    2.7282587288e-05    4.4721070483e-21   -2.2201373815e-04   -7.1715896152e-19
  61.7500000    5.9269857450e-05    2.3067425294e-21   -1.7217220401e-04   -1.4262501106e-18
  62.0000000    7.5810549713e-05    2.1520557664e-21    3.6298851566e-05   -1.9166018682e-18
  62.2500000    7.0051482320e-05    1.4717600951e-21    3.3558448745e-04   -2.0272159752e-18
  62.5000000    4.1221612680e-05    3.4763956055e-21    6.2508148453e-04   -1.7399625536e-18
  62.7500000   -4.5416735301e-06    2.5298454696e-21    8.0876745340e-04   -1.1529715743e-18
  63.0000000   -5.5488344780e-05   -1.0658615992e-21    8.2811245267e-04   -3.5978831273e-19
  63.2500000   -9.7450646218e-05   -7.1724729530e-21    6.7943156802e-04    4.9285411299e-19
  63.5000000   -1.1803536098e-04   -1.2692040811e-20    4.1140200759e-04    1.1778419194e-18
  63.7500000   -1.1049366478e-04   -1.8269539947e-20    1.0600012164e-04    1.5633373916e-18
  64.0000000   -7.5980272859e-05   -1.7603021397e-20   -1.4856927889e-04    1.5869317428e-18
  64.2500000   -2.3408151150e-05   -1.2165781477e-20   -2.8307971080e-04    1.2219637010e-18
  64.5000000    3.3108525364e-05   -2.1240079621e-21   -2.6338284212e-04    6.7486074405e-19
  64.7500000    7.8431676359e-05    1.0315359060e-20   -9.4888453773e-05    3.4197216874e-20
  65.0000000    1.0087235848e-04    1.9358359242e-20    1.8280337529e-04   -5.4301782531e-19
  65.2500000    9.5549270225e-05    2.1871744302e-20    5.0727585236e-04   -8.8279908018e-19
  65.5000000    6.5608299415e-05    2.0880264940e-20    8.0712404730e-04   -9.4803233336e-19
  65.7500000    2.0992447290e-05    1.1866854237e-20    1.0160571198e-03   -7.5714874893e-19
  66.0000000   -2.4764402935e-05    1.6879072764e-21    1.0859755117e-03   -4.4293421539e-19
  66.2500000   -5.8660151326e-05   -5.4416270467e-21    9.9747429318e-04   -3.3849577661e-20
  66.5000000   -7.1991377714e-05   -1.1308735121e-20    7.6547122761e-04    3.3029908640e-19
  66.7500000   -6.2682403932e-05   -1.4833138454e-20    4.3763079424e-04    5.6963999679e-19
  67.0000000   -3.5581428812e-05   -1.4018372013e-20    8.4665118248e-05    6.4377104440e-19
  67.2500000   -7.3486316336e-07   -1.0986916626e-20   -2.1593930558e-04    6.2196607232e-19
  67.5000000    2.9799371101e-05   -4.1761683409e-21   -3.9887396811e-04    4.5695989632e-19
  67.7500000    4.5671569189e-05   -1.4299464787e-21   -4.2761148630e-04    2.3375990340e-19
  68.0000000    4.1441871128e-05    1.6056868159e-21   -3.0408686655e-04   -6.2089210754e-21
  68.2500000    1.8343869917e-05    6.9963065457e-21   -6.8589274853e-05   -1.8873518958e-19
