#       time                 x_1                 y_1                 z_1                 x_2                 y_2                 z_2
  46.0000000    7.3637449113e+01    6.4000000000e+01   -1.3872198536e-22    5.4362550888e+01    6.4000000000e+01    7.8806118959e-23
  46.5000000    7.3636259648e+01    6.4000000000e+01   -1.3872198536e-22    5.4363740353e+01    6.4000000000e+01    7.8806118959e-23
  47.0000000    7.3635084060e+01    6.4000000000e+01   -1.3872198536e-22    5.4364915941e+01    6.4000000000e+01    7.8806118959e-23
  47.5000000    7.3633922077e+01    6.4000000000e+01   -1.3872198536e-22    5.4366077924e+01    6.4000000000e+01    7.8806118959e-23
  48.0000000    7.3632773438e+01    6.4000000001e+01   -1.3872198536e-22    5.4367226563e+01    6.4000000001e+01    7.8806118959e-23
  48.5000000    7.3631637896e+01    6.4000000001e+01   -1.3872198536e-22    5.4368362105e+01    6.4000000001e+01    7.8806118959e-23
  49.0000000    7.3630515208e+01    6.4000000000e+01   -1.3872198536e-22    5.4369484794e+01    6.4000000000e+01    7.8806118959e-23
  49.5000000    7.3629405121e+01    6.3999999999e+01   -1.3872198536e-22    5.4370594880e+01    6.3999999999e+01    7.8806118959e-23
  50.0000000    7.3628307371e+01    6.3999999998e+01   -1.3872198536e-22    5.4371692630e+01    6.3999999998e+01    7.8806118959e-23
  50.5000000    7.3627221713e+01    6.3999999999e+01   -1.3872198536e-22    5.4372778289e+01    6.3999999999e+01    7.8806118959e-23
  51.0000000    7.3626147982e+01    6.4000000001e+01   -1.3872198536e-22    5.4373852019e+01    6.4000000001e+01    7.8806118959e-23
  51.5000000    7.3625086050e+01    6.4000000002e+01   -1.3872198536e-22    5.4374913951e+01    6.4000000002e+01    7.8806118959e-23
  52.0000000    7.3624035650e+01    6.4000000002e+01   -1.3872198536e-22    5.4375964350e+01    6.4000000002e+01    7.8806118959e-23
  52.5000000    7.3622996329e+01    6.4000000001e+01   -1.3872198536e-22    5.4377003671e+01    6.4000000001e+01    7.8806118959e-23
  53.0000000    7.3621967727e+01    6.4000000000e+01   -1.3872198536e-22    5.4378032273e+01    6.4000000000e+01    7.8806118959e-23
  53.5000000    7.3620949922e+01    6.3999999999e+01   -1.3872198536e-22    5.4379050079e+01    6.3999999999e+01    7.8806118959e-23
  54.0000000    7.3619943261e+01    6.3999999999e+01   -1.3872198536e-22    5.4380056740e+01    6.3999999999e+01    7.8806118959e-23
